pl_name,hostname,pl_letter,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,st_age,st_rotp,mass_class,evol_stage,host_bin,secs_pl_orbper,msol_kg,a_calc,st_mass_bin,age_bin,j_mass_bin,log10_tau_wein,t_a_wein_yr,t_a_wein_sec,Pdot_WN_ss,Pdot_WN_ms_yr,Mp_kg,Rstar_m,a_m,n_rad_s,Prot_sec,Omega_st_rad_s,adot_over_a_Q6,adot_over_a_Q7,adot_over_a_Q8,Pdot_Q6_ms_yr,Pdot_Q7_ms_yr,Pdot_Q8_ms_yr,ratio_WN_to_Q6,ratio_WN_to_Q7,ratio_WN_to_Q8,abs_Pdot_WN,abs_Pdot_Q7
HD 2685 b,HD 2685,b,1,1,4.12688,0.0568,1.44,1.17,0.091,,6801.00,1.56,1.43,0.0200,4.21,1.3100,,Hot,Main Sequence,,356562.432,2.84427E+30,0.05673,1.5,2.03,1,13.4504536,2.82133E+13,8.90343E+20,-6.00716E-16,-1.89572E-05,2.22081E+27,1085292000,8497159056,1.76216E-05,0,0,-2.10456E-18,-2.10456E-19,-2.10456E-20,-0.035521629,-0.003552163,-0.000355216,0.000533679,0.005336793,0.053367932,1.89572E-05,0.003552163
TOI-6016 b,TOI-6016,b,1,1,4.023687,0.055,1.22,1.17,0,F,6110.00,1.51,1.31,0.2800,4.19,0.3000,9.1,Hot,Main Sequence,,347646.5568,2.60559E+30,0.05418,1.2,1.05,1,19.36229482,2.303E+19,7.26773E+26,-7.17514E-22,-2.2643E-11,2.22081E+27,1050507000,8227882889,1.80735E-05,786240,7.99143E-06,-1.31196E-18,-1.31196E-19,-1.31196E-20,-0.021590097,-0.00215901,-0.000215901,1.04877E-09,1.04877E-08,1.04877E-07,2.2643E-11,0.00215901
WASP-121 b,WASP-121,b,1,1,1.27492504,0.02571,1.742,1.17,0,F6 V,6628.00,1.461,1.33,0.1700,4.251,1.1100,1.13,Hot,Main Sequence,,110153.5235,2.64537E+30,0.02531,1.2,1.05,1,13.72473558,5.30561E+13,1.67432E+21,-9.86848E-17,-3.11425E-06,2.22081E+27,1016417700,3846161256,5.70403E-05,97632,6.43558E-05,3.56212E-17,3.56212E-18,3.56212E-19,0.185738373,0.018573837,0.001857384,-1.67669E-05,-0.000167669,-0.001676689,3.11425E-06,0.018573837
WASP-82 b,WASP-82,b,1,1,2.70579,0.0447,1.62,1.17,0,F5,6480.00,2.1,1.48,0.1200,3.96,,,Hot,Subgiant,Hot Subgiant,233780.256,2.94372E+30,0.04331,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-194 b,WASP-194,b,1,1,3.183387,0.047,1.381,1.174,0,,6405.00,1.409,1.29,0.0000,4.27,0.7500,,Hot,Main Sequence,,275044.6368,2.56581E+30,0.04611,1.2,1.05,1,18.21324602,1.63398E+18,5.15644E+25,-8.001E-21,-2.52492E-10,2.2284E+27,980241300,7031099923,2.28442E-05,0,0,-4.70227E-18,-4.70227E-19,-4.70227E-20,-0.061221758,-0.006122176,-0.000612218,4.12423E-09,4.12423E-08,4.12423E-07,2.52492E-10,0.006122176
WASP-47 b,WASP-47,b,1,4,4.159151,0.052,1.14729433,1.1767356,0.0006,G9,5565.00,1.156,1.058,0.4300,4.3437,6.5000,39.4,Solar,Main Sequence,Solar MS,359350.6464,2.10436E+30,0.05158,1,8.72,1,11.75133884,5.64078E+11,1.78009E+19,-3.02808E-14,-0.000955588,2.2336E+27,804229200,7779089276,1.74848E-05,3404160,1.84574E-06,-8.82194E-19,-8.82194E-20,-8.82194E-21,-0.015006436,-0.001500644,-0.000150064,0.063678569,0.636785692,6.367856919,0.000955588,0.001500644
TOI-1181 b,TOI-1181,b,1,1,2.103189,0.0364,1.519,1.179,0.011,F9 IV,6054.00,1.961,1.467,0.3800,4.02,2.7000,8.7,Hot,Main Sequence,,181715.5296,2.91786E+30,0.03651,1.5,2.5,1,7.419549859,26275431.66,8.2919E+14,-3.28723E-10,-10.37369425,2.2379E+27,1364267700,5445362493,3.4577E-05,751680,8.35886E-06,-8.93211E-17,-8.93211E-18,-8.93211E-19,-0.768318455,-0.076831846,-0.007683185,13.50181579,135.0181579,1350.181579,10.37369425,0.076831846
KELT-18 b,KELT-18,b,2,1,2.8717518,0.0455,1.57,1.18,0,F4 V,6670.00,1.908,1.524,0.0900,4.0599,1.9000,8,Hot,Main Sequence,,248119.3555,3.03124E+30,0.04550,1.5,2.03,1,12.38281003,2.4144E+12,7.61928E+19,-4.8847E-15,-0.000154149,2.23979E+27,1327395600,6806703117,2.53232E-05,691200,9.09026E-06,-1.52236E-17,-1.52236E-18,-1.52236E-19,-0.178802132,-0.017880213,-0.001788021,0.000862123,0.008621229,0.08621229,0.000154149,0.017880213
OGLE-TR-132 b,OGLE-TR-132,b,1,1,1.689868,0.03035,1.2,1.18,0.6,F5 V,6210.00,1.32,1.305,0.3700,4.313,1.2000,,Hot,Main Sequence,,146004.5952,2.59565E+30,0.03034,1.2,1.05,1,15.10682923,1.27888E+15,4.03583E+22,-5.42656E-18,-1.71249E-07,2.23979E+27,918324000,4540295376,4.30342E-05,0,0,-5.6565E-17,-5.6565E-18,-5.6565E-19,-0.390939371,-0.039093937,-0.003909394,4.38045E-07,4.38045E-06,4.38045E-05,1.71249E-07,0.039093937
TOI-157 b,TOI-157,b,1,1,2.0845435,0.03138,1.286,1.18,0,G9 IV,5404.00,1.167,0.948,0.2400,4.281,12.8200,,Solar,Main Sequence,Solar MS,180104.5584,1.88557E+30,0.03137,1,11,1,9.555825494,3596048115,1.13483E+17,-2.3806E-12,-0.075126035,2.23979E+27,811881900,4694381183,3.48863E-05,0,0,-2.88539E-17,-2.88539E-18,-2.88539E-19,-0.245994269,-0.024599427,-0.002459943,0.305397502,3.053975024,30.53975024,0.075126035,0.024599427
TOI-3540 A b,TOI-3540 A,b,2,1,3.119999,0.04289,2.1,1.18,0,,5810.00,1.228,1.081,0.1760,4.293,6.0000,,Solar,Main Sequence,Solar MS,269567.9136,2.15011E+30,0.04289,1,8.72,1,10.94887211,88893930894,2.80528E+18,-1.4414E-13,-0.004548701,2.23979E+27,854319600,6416252674,2.33084E-05,0,0,-4.57263E-18,-4.57263E-19,-4.57263E-20,-0.058348494,-0.005834849,-0.000583485,0.077957462,0.779574624,7.795746242,0.004548701,0.005834849
HAT-P-41 b,HAT-P-41,b,2,1,2.69405,0.04258,2.05,1.19,0,,6390.00,2.05,2.56,0.2100,4.14,2.2000,,Hot,Main Sequence,,232765.92,5.09184E+30,0.05184,2,0.92,1,7.764517251,58145652.79,1.83494E+15,-1.90278E-10,-6.004728871,2.25877E+27,1426185000,6369877334,2.69936E-05,0,0,-3.03176E-17,-3.03176E-18,-3.03176E-19,-0.334048673,-0.033404867,-0.003340487,17.97561061,179.7561061,1797.561061,6.004728871,0.033404867
Qatar-9 b,Qatar-9,b,1,1,1.540731,0.0234,1.009,1.19,0,K5 V,4309.00,0.696,0.719,0.2520,4.61,7.5000,,Cool,Main Sequence,Cool MS,133119.1584,1.43009E+30,0.02339,0.8,8.97,1,9.693294028,4935078078,1.55739E+17,-1.28214E-12,-0.04046111,2.25877E+27,484207200,3500590174,4.71997E-05,0,0,-1.69868E-17,-1.69868E-18,-1.69868E-19,-0.107040152,-0.010704015,-0.001070402,0.377999371,3.779993712,37.79993712,0.04046111,0.010704015
TOI-3160 A b,TOI-3160 A,b,2,1,3.971281,0.0505,1.228,1.19,0.18,,6190.00,1.346,1.088,-0.1140,4.217,5.5000,,Solar,Main Sequence,Solar MS,343118.6784,2.16403E+30,0.05048,1,4.6,1,12.176488,1.50137E+12,4.73797E+19,-1.08628E-14,-0.000342805,2.25877E+27,936412200,7554692470,1.8312E-05,0,0,-2.51657E-18,-2.51657E-19,-2.51657E-20,-0.040874101,-0.00408741,-0.000408741,0.00838686,0.083868604,0.838686035,0.000342805,0.00408741
XO-5 b,XO-5,b,1,1,4.1877558,0.0515,1.14,1.19,0,G8 V,5430.00,1.13,1.04,0.0500,4.35,8.5000,,Solar,Main Sequence,Solar MS,361822.1011,2.06856E+30,0.05152,1,8.72,1,11.77047113,5.89483E+11,1.86027E+19,-2.9175E-14,-0.000920694,2.25877E+27,786141000,7704290341,1.73654E-05,0,0,-9.43933E-19,-9.43933E-20,-9.43933E-21,-0.016167074,-0.001616707,-0.000161671,0.056948696,0.569486964,5.694869642,0.000920694,0.001616707
HATS-33 b,HATS-33,b,1,1,2.5495551,0.03727,1.23,1.192,0.08,,5659.00,1.022,1.062,0.2900,4.445,3.0000,,Solar,Main Sequence,Solar MS,220281.5606,2.11232E+30,0.03727,1,4.6,1,10.85191915,71108111851,2.244E+18,-1.47247E-13,-0.00464676,2.26257E+27,711005400,5575512641,2.85234E-05,0,0,-4.63658E-18,-4.63658E-19,-4.63658E-20,-0.048347162,-0.004834716,-0.000483472,0.096112366,0.961123659,9.611236591,0.00464676,0.004834716
HIP 94235 b,HIP 94235,b,2,1,7.713057,0.0787,0.26764253,1.19246736,0.32,G V,5991.00,1.08,1.094,0.0000,4.46,0.1180,2.24,Solar,Main Sequence,Solar MS,666408.1248,2.17597E+30,0.07873,1,1.03,1,19.03086726,1.07366E+19,3.38822E+26,-2.95026E-21,-9.31031E-11,2.26346E+27,751356000,11773352424,9.42843E-06,193536,3.24652E-05,1.14152E-19,1.14152E-20,1.14152E-21,0.003600957,0.000360096,3.60096E-05,-2.58551E-08,-2.58551E-07,-2.58551E-06,9.31031E-11,0.000360096
PSR J1719-1438 b,PSR J1719-1438,b,1,1,0.090706293,0.0044,,1.2,0.06,,4500.00,,1.4,,,12.5000,,Hot,,,7837.023715,2.7846E+30,0.00442,1.5,2.5,1,-0.992512613,0.101738982,3210638.091,-0.003661433,-115546031.3,2.27776E+27,0,658230631.1,0.000801731,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,115546031.3,0
WASP-4 b,WASP-4,b,1,1,1.338230994,0.02261,1.349,1.2,0.0053,G8,5436.00,0.912,0.899,-0.0500,4.472,7.0000,22.2,Cool,Main Sequence,Cool MS,115623.1579,1.78811E+30,0.02294,0.8,8.97,1,9.243284015,1750991409,5.52571E+16,-3.13869E-12,-0.09904945,2.27776E+27,634478400,3382407857,5.43419E-05,1918080,3.27577E-06,-6.79849E-17,-6.79849E-18,-6.79849E-19,-0.372094137,-0.037209414,-0.003720941,0.266194601,2.661946013,26.61946013,0.09904945,0.037209414
HD 143105 b,HD 143105,b,1,1,2.1974,0.0379,1.22,1.21,0.07,F5,6380.00,1.647304,1.51,0.1500,4.37,,,Hot,Main Sequence,,189855.36,3.00339E+30,0.03795,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1601 b,TOI-1601,b,1,1,5.33175,0.069,1.2667542,1.21763817,0,,5982.00,2.195,1.5055,0.3430,3.928,2.4000,,Hot,Subgiant,Hot Subgiant,460663.2,2.99444E+30,0.06846,1.5,2.5,1,9.908782035,8105541526,2.55791E+17,-2.7014E-12,-0.085249677,2.31124E+27,1527061500,10322253078,1.36394E-05,0,0,-3.35697E-18,-3.35697E-19,-3.35697E-20,-0.073202582,-0.007320258,-0.000732026,1.164572005,11.64572005,116.4572005,0.085249677,0.007320258
TOI-163 b,TOI-163,b,1,1,4.231306,0.058,1.489,1.22,0,F,6495.00,1.648,1.4352,0.2200,4.187,1.8230,,Hot,Main Sequence,,365584.8384,2.85461E+30,0.05775,1.5,2.03,1,13.52403166,3.34219E+13,1.05472E+21,-5.19929E-16,-1.64077E-05,2.31572E+27,1146513600,8676676501,1.71867E-05,0,0,-2.52739E-18,-2.52739E-19,-2.52739E-20,-0.043737626,-0.004373763,-0.000437376,0.000375139,0.003751393,0.03751393,1.64077E-05,0.004373763
WASP-138 b,WASP-138,b,1,1,3.634433,0.0494,1.09,1.22,,,6272.00,1.36,1.22,-0.0900,4.25,3.4400,,Hot,Main Sequence,,314015.0112,2.42658E+30,0.04944,1.2,4,1,11.46181693,2.89612E+11,9.13947E+18,-5.15372E-14,-0.00162639,2.31572E+27,946152000,7390134813,2.00092E-05,0,0,-2.95581E-18,-2.95581E-19,-2.95581E-20,-0.043936103,-0.00439361,-0.000439361,0.03701717,0.370171697,3.701716968,0.00162639,0.00439361
HATS-35 b,HATS-35,b,1,1,1.8209993,0.03199,1.464,1.222,0.306,,6300.00,1.433,1.317,0.2100,4.244,2.1300,,Hot,Main Sequence,,157334.3395,2.61951E+30,0.03199,1.2,1.05,1,15.47341658,2.97452E+15,9.38686E+22,-2.51417E-18,-7.93411E-08,2.31951E+27,996938100,4785635884,3.99352E-05,0,0,-6.24293E-17,-6.24293E-18,-6.24293E-19,-0.464950712,-0.046495071,-0.004649507,1.70644E-07,1.70644E-06,1.70644E-05,7.93411E-08,0.046495071
WASP-119 b,WASP-119,b,1,1,2.49979,0.0363,1.4,1.23,0.058,G5,5650.00,1.2,1.02,0.1400,4.26,8.0000,,Solar,Main Sequence,Solar MS,215981.856,2.02878E+30,0.03629,1,8.72,1,10.33022555,21390727117,6.7504E+17,-4.79931E-13,-0.015145478,2.3347E+27,834840000,5430402706,2.90913E-05,0,0,-1.29368E-17,-1.29368E-18,-1.29368E-19,-0.13226343,-0.013226343,-0.001322634,0.114509944,1.145099436,11.45099436,0.015145478,0.013226343
TOI-2346 b,TOI-2346,b,1,1,3.3312029,0.0473,1.438,1.24,0.086,,6480.00,1.38,1.271,-0.0300,4.265,1.9000,,Hot,Main Sequence,,287815.9306,2.52802E+30,0.04729,1.2,1.05,1,18.43588031,2.72823E+18,8.60963E+25,-5.01443E-21,-1.58243E-10,2.35368E+27,960066000,7075979284,2.18306E-05,0,0,-4.2055E-18,-4.2055E-19,-4.2055E-20,-0.057296435,-0.005729643,-0.000572964,2.76184E-09,2.76184E-08,2.76184E-07,1.58243E-10,0.005729643
WASP-16 b,WASP-16,b,1,1,3.1186,0.0415,1.22,1.24,0,,5700.00,1.14,1.78,0.0100,4.49,8.6000,,Hot,Main Sequence,,269447.04,3.54042E+30,0.05063,2,0.92,1,8.144982675,139631265.6,4.40643E+15,-9.1723E-11,-2.894556303,2.35368E+27,793098000,6208311634,2.33188E-05,0,0,-2.37344E-18,-2.37344E-19,-2.37344E-20,-0.030272424,-0.003027242,-0.000302724,95.61693331,956.1693331,9561.693331,2.894556303,0.003027242
WASP-24 b,WASP-24,b,3,1,2.34121,0.03651,1.38,1.24,0,,6075.00,1.42,1.43,0.0000,4.26,3.8000,,Hot,Main Sequence,,202280.544,2.84427E+30,0.03888,1.5,2.5,1,7.706446506,50868215.92,1.60528E+15,-1.89014E-10,-5.964840923,2.35368E+27,987894000,5461818259,3.10617E-05,0,0,-2.23914E-17,-2.23914E-18,-2.23914E-19,-0.214402547,-0.021440255,-0.002144025,27.82075592,278.2075592,2782.075592,5.964840923,0.021440255
TOI-3464 b,TOI-3464,b,1,1,3.6515568,0.0515,1.228,1.25,0.25,,6370.00,1.56,1.363,0.0450,4.185,2.1000,,Hot,Main Sequence,,315494.5075,2.71101E+30,0.05146,1.5,2.03,1,13.09015109,1.2307E+13,3.88378E+20,-1.21851E-15,-3.84532E-05,2.37266E+27,1085292000,7704290341,1.99154E-05,0,0,-4.35087E-18,-4.35087E-19,-4.35087E-20,-0.064977461,-0.006497746,-0.000649775,0.000591792,0.005917922,0.05917922,3.84532E-05,0.006497746
TOI-4487 A b,TOI-4487 A,b,2,1,3.9540709,0.05448,1.303,1.25,0.083,,6206.00,1.634,1.378,0.2160,4.15,2.4500,,Hot,Main Sequence,,341631.7258,2.74084E+30,0.05446,1.5,2.5,1,9.108850858,1284845352,4.05466E+16,-1.26385E-11,-0.398839897,2.37266E+27,1136773800,8150091996,1.83917E-05,0,0,-3.78219E-18,-3.78219E-19,-3.78219E-20,-0.0611642,-0.00611642,-0.000611642,6.520806291,65.20806291,652.0806291,0.398839897,0.00611642
OGLE-TR-113 b,OGLE-TR-113,b,1,1,1.4324752,0.02289,1.093,1.26,0,K4 V,4790.00,0.774,0.779,0.0900,4.552,13.2000,,Cool,Main Sequence,Cool MS,123765.8573,1.54943E+30,0.02288,0.8,8.97,1,9.460627725,2888203070,9.11448E+16,-2.03686E-12,-0.064278301,2.39164E+27,538471800,3424295260,5.07667E-05,0,0,-3.39058E-17,-3.39058E-18,-3.39058E-19,-0.198641809,-0.019864181,-0.001986418,0.323588982,3.23588982,32.3588982,0.064278301,0.019864181
WASP-100 b,WASP-100,b,2,1,2.84938,0.04574,1.33,1.26,0,F2,6900.00,1.57,0.77,-0.0300,4.35,1.5700,,Cool,Main Sequence,Cool MS,246186.432,1.53153E+30,0.03605,0.8,1.07,1,15.55470193,3.58676E+15,1.13189E+23,-3.26249E-18,-1.02956E-07,2.39164E+27,1092249000,6842606606,2.55221E-05,0,0,-1.85866E-17,-1.85866E-18,-1.85866E-19,-0.216600281,-0.021660028,-0.002166003,4.75329E-07,4.75329E-06,4.75329E-05,1.02956E-07,0.021660028
WASP-85 A b,WASP-85 A,b,2,1,2.6556777,0.039,1.24,1.265,0,G5 V,6112.00,0.935,1.09,0.1180,4.48,,15.1,Solar,Main Sequence,Solar MS,229450.5533,2.16801E+30,0.03863,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-197 b,WASP-197,b,1,1,5.167228,0.065,1.289,1.269,0,,6050.00,2.112,1.36,0.0000,3.9,2.6000,,Hot,Subgiant,Hot Subgiant,446448.4992,2.70504E+30,0.06481,1.5,2.5,1,9.824909452,6682045863,2.10869E+17,-3.17577E-12,-0.100219718,2.40873E+27,1469318400,9723861596,1.40737E-05,0,0,-4.44243E-18,-4.44243E-19,-4.44243E-20,-0.09388306,-0.009388306,-0.000938831,1.067495221,10.67495221,106.7495221,0.100219718,0.009388306
Kepler-428 b,Kepler-428,b,1,1,3.52563254,0.0433,1.08,1.27,0.22,K1 V,5150.00,0.8,0.87,0.0900,4.571,5.0000,,Cool,Main Sequence,Cool MS,304614.6515,1.73043E+30,0.04328,0.8,4.87,1,13.22923401,1.69525E+13,5.34981E+20,-8.54091E-16,-2.69531E-05,2.41063E+27,556560000,6477587801,2.06267E-05,0,0,-6.05495E-19,-6.05495E-20,-6.05495E-21,-0.008730853,-0.000873085,-8.73085E-05,0.003087105,0.030871048,0.308710485,2.69531E-05,0.000873085
WASP-64 b,WASP-64,b,2,1,1.5732918,0.02648,1.271,1.271,0,G7,5400.00,1.058,1.004,-0.0800,4.392,1.2000,,Solar,Main Sequence,Solar MS,135932.4115,1.99696E+30,0.02651,1,1.03,1,11.38941178,2.45139E+11,7.73599E+18,-2.63572E-14,-0.000831769,2.41252E+27,736050600,3961351616,4.62229E-05,0,0,-5.56537E-17,-5.56537E-18,-5.56537E-19,-0.358106338,-0.035810634,-0.003581063,0.002322686,0.02322686,0.232268597,0.000831769,0.035810634
WASP-104 b,WASP-104,b,2,1,1.7554137,0.02918,1.137,1.272,0,G8,5475.00,0.963,1.076,0.3200,4.503,3.0000,,Solar,Main Sequence,Solar MS,151667.7437,2.14016E+30,0.02918,1,4.6,1,9.736436963,5450507774,1.72005E+17,-1.32265E-12,-0.041739527,2.41442E+27,669959100,4365265867,4.14273E-05,0,0,-1.79082E-17,-1.79082E-18,-1.79082E-19,-0.128570571,-0.012857057,-0.001285706,0.32464293,3.246429296,32.46429296,0.041739527,0.012857057
HAT-P-8 b,HAT-P-8,b,3,1,3.07634,0.04496,1.4,1.28,0,F6,6200.00,1.57,1.27,0.0100,4.15,3.4000,,Hot,Main Sequence,,265795.776,2.52603E+30,0.04483,1.2,4,1,11.00340588,1.00787E+11,3.18061E+18,-1.25351E-13,-0.003955792,2.42961E+27,1092249000,6725920267,2.36391E-05,0,0,-1.15556E-17,-1.15556E-18,-1.15556E-19,-0.145390066,-0.014539007,-0.001453901,0.027208132,0.272081319,2.72081319,0.003955792,0.014539007
KELT-14 b,KELT-14,b,1,1,1.7100566,0.03005,1.743,1.284,0,G4,5720.00,1.52,1.239,0.3200,4.166,5.1100,,Hot,Main Sequence,,147748.8902,2.46437E+30,0.03006,1.2,6,1,6.660059577,4571508.977,1.44266E+14,-1.53621E-09,-48.47925192,2.4372E+27,1057464000,4495416015,4.25261E-05,0,0,-1.36311E-16,-1.36311E-17,-1.36311E-18,-0.953347013,-0.095334701,-0.00953347,50.85163245,508.5163245,5085.163245,48.47925192,0.095334701
HATS-68 b,HATS-68,b,1,1,3.5862202,0.05071,1.232,1.29,0.036,,6147.00,1.748,1.351,0.2100,4.083,3.0200,,Hot,Main Sequence,,309849.4253,2.68714E+30,0.05069,1.5,2.5,1,8.847552985,703968109.2,2.22155E+16,-2.09211E-11,-0.660220444,2.44859E+27,1216083600,7586108023,2.02782E-05,0,0,-8.80216E-18,-8.80216E-19,-8.80216E-20,-0.129102658,-0.012910266,-0.001291027,5.113918278,51.13918278,511.3918278,0.660220444,0.012910266
K2-113 b,K2-113,b,1,1,5.817685,0.0642,1.08305826,1.29,0,G,5660.00,1.24,1.04,0.2700,4.27,5.9000,,Solar,Main Sequence,Solar MS,502647.984,2.06856E+30,0.06414,1,4.6,1,13.31767247,2.07813E+13,6.55808E+20,-1.14968E-15,-3.62813E-05,2.44859E+27,862668000,9604183299,1.25002E-05,0,0,-3.89307E-19,-3.89307E-20,-3.89307E-21,-0.009262994,-0.000926299,-9.26299E-05,0.0039168,0.039167995,0.391679953,3.62813E-05,0.000926299
Qatar-1 b,Qatar-1,b,1,1,1.4200242,0.02332,1.143,1.294,0,,5013.00,0.803,0.838,0.1710,4.552,1.1900,23.7,Cool,Main Sequence,Cool MS,122690.0909,1.66678E+30,0.02331,0.8,1.07,1,11.86481925,7.3252E+11,2.31166E+19,-7.96118E-15,-0.000251236,2.45618E+27,558647100,3488622345,5.12118E-05,2047680,3.06844E-06,-3.36162E-17,-3.36162E-18,-3.36162E-19,-0.195233058,-0.019523306,-0.001952331,0.001286851,0.012868506,0.128685063,0.000251236,0.019523306
DS Tuc A b,DS Tuc A,b,2,1,8.138268,,0.50851994,1.3,0,G6 V,5428.00,0.964,1.01,0.0000,4.6,0.0450,2.85,Solar,Main Sequence,Solar MS,703146.3552,2.00889E+30,0.07945,1,1.03,1,19.28880915,1.94451E+19,6.13639E+26,-1.71879E-21,-5.4241E-11,2.46757E+27,670654800,0,8.93581E-06,246240,2.55165E-05,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
HD 217107 b,HD 217107,b,1,2,7.12682,0.08,1.22,1.3,0.13,G8 IV,5622.00,1.11,1,0.3600,4.34,5.8400,,Solar,Main Sequence,Solar MS,615757.248,1.989E+30,0.07248,1,4.6,1,13.92429789,8.40036E+13,2.65095E+21,-3.48417E-16,-1.09952E-05,2.46757E+27,772227000,11967829656,1.0204E-05,0,0,-6.37185E-20,-6.37185E-21,-6.37185E-22,-0.001857249,-0.000185725,-1.85725E-05,0.005920152,0.059201519,0.592015194,1.09952E-05,0.000185725
CoRoT-13 b,CoRoT-13,b,1,1,4.03519,0.051,0.885,1.308,0,G0 V,5945.00,1.01,1.09,0.0100,4.46,1.6350,,Solar,Main Sequence,Solar MS,348640.416,2.16801E+30,0.05105,1,1.03,1,15.91678027,8.2562E+15,2.60546E+23,-2.00717E-18,-6.33416E-08,2.48275E+27,702657000,7629491406,1.8022E-05,0,0,-6.15355E-19,-6.15355E-20,-6.15355E-21,-0.010155445,-0.001015545,-0.000101554,6.2372E-06,6.2372E-05,0.00062372,6.33416E-08,0.001015545
KELT-15 b,KELT-15,b,2,1,3.32944,0.04613,1.74,1.31,0,,6003.00,1.78,2.06,0.0500,4.17,,,Hot,Main Sequence,,287663.616,4.09734E+30,0.05553,,,,,,,,,,,,,,,,,,,,,,,,,
KELT-17 b,KELT-17,b,1,1,3.0801716,0.04881,1.525,1.31,,A,7454.00,1.645,1.635,-0.0180,4.22,0.6500,,Hot,Main Sequence,,266126.8262,3.25202E+30,0.04881,1.5,2.03,1,12.58910488,3.88244E+12,1.22521E+20,-3.25815E-15,-0.000102819,2.48655E+27,1144426500,7301872069,2.36097E-05,0,0,-7.68275E-18,-7.68275E-19,-7.68275E-20,-0.096783371,-0.009678337,-0.000967834,0.001062366,0.010623663,0.106236629,0.000102819,0.009678337
HAT-P-6 b,HAT-P-6,b,1,1,3.85298,0.05239,1.48,1.32,0,,6570.00,1.62,1.79,-0.1300,4.22,2.3000,,Hot,Main Sequence,,332897.472,3.56031E+30,0.05840,2,0.92,1,8.694764294,495181367,1.56267E+16,-3.19546E-11,-1.008410739,2.50553E+27,1127034000,7837432446,1.88742E-05,0,0,-3.67545E-18,-3.67545E-19,-3.67545E-20,-0.057918288,-0.005791829,-0.000579183,17.41092105,174.1092105,1741.092105,1.008410739,0.005791829
HATS-4 b,HATS-4,b,1,1,2.516729,0.0362,1.02,1.323,0.013,G,5403.00,0.925,1.001,0.4300,4.51,2.1000,,Solar,Main Sequence,Solar MS,217445.3856,1.99099E+30,0.03622,1,4.6,1,10.81318713,65040987358,2.05254E+18,-1.5891E-13,-0.005014808,2.51123E+27,643522500,5415442919,2.88955E-05,0,0,-3.88605E-18,-3.88605E-19,-3.88605E-20,-0.039999385,-0.003999938,-0.000399994,0.125372134,1.253721336,12.53721336,0.005014808,0.003999938
HD 149143 b,HD 149143,b,1,1,4.07182,0.053,1.22,1.33,0.0167,G0,5856.00,1.44,1.2,0.2900,4.25,4.2800,,Hot,Main Sequence,,351805.248,2.3868E+30,0.05303,1.2,4,1,11.77428555,5.94683E+11,1.87668E+19,-2.81193E-14,-0.000887377,2.52451E+27,1001808000,7928687147,1.78598E-05,0,0,-2.73759E-18,-2.73759E-19,-2.73759E-20,-0.045589543,-0.004558954,-0.000455895,0.019464479,0.194644787,1.946447866,0.000887377,0.004558954
NGTS-6 b,NGTS-6,b,1,1,0.882059,0.01677,1.326,1.339,0,,4730.00,0.754,0.767,0.1100,4.7,9.7700,,Cool,Main Sequence,Cool MS,76209.8976,1.52556E+30,0.01648,0.8,8.97,1,7.912033362,81664510.27,2.57714E+15,-4.43573E-11,-1.399810591,2.5416E+27,524557800,2508756292,8.24458E-05,0,0,-2.4702E-16,-2.4702E-17,-2.4702E-18,-0.89112446,-0.089112446,-0.008911245,1.570836235,15.70836235,157.0836235,1.399810591,0.089112446
WASP-91 b,WASP-91,b,1,1,2.798581,0.037,1.03,1.34,0,K3,4920.00,0.86,0.84,0.1900,4.3,,,Cool,Main Sequence,Cool MS,241797.3984,1.67076E+30,0.03667,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-50 b,HAT-P-50,b,1,1,3.1220109,0.0453,1.288,1.35,0.115,F5,6280.00,1.698,1.273,-0.1800,4.072,3.3700,,Hot,Main Sequence,,269741.7418,2.532E+30,0.04531,1.2,4,1,11.04392762,1.10644E+11,3.49166E+18,-1.1588E-13,-0.003656889,2.56248E+27,1181298600,6776783543,2.32933E-05,0,0,-1.70734E-17,-1.70734E-18,-1.70734E-19,-0.218004029,-0.021800403,-0.00218004,0.016774411,0.16774411,1.677441103,0.003656889,0.021800403
WASP-97 b,WASP-97,b,1,1,2.07276,0.03303,1.14,1.36,0,G5,5640.00,1.08,1.18,0.2300,4.45,4.8000,,Hot,Main Sequence,,179086.464,2.34702E+30,0.03362,1.2,4,1,9.917656876,8272882883,2.61072E+17,-1.02895E-12,-0.032471111,2.58146E+27,751356000,4941217669,3.50846E-05,0,0,-1.41168E-17,-1.41168E-18,-1.41168E-19,-0.11967255,-0.011967255,-0.001196725,0.271332989,2.713329892,27.13329892,0.032471111,0.011967255
