pl_name,hostname,pl_letter,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,st_age,st_rotp,mass_class,evol_stage,host_bin,secs_pl_orbper,msol_kg,a_calc,st_mass_bin,age_bin,j_mass_bin,log10_tau_wein,t_a_wein_yr,t_a_wein_sec,Pdot_WN_ss,Pdot_WN_ms_yr,Mp_kg,Rstar_m,a_m,n_rad_s,Prot_sec,Omega_st_rad_s,adot_over_a_Q6,adot_over_a_Q7,adot_over_a_Q8,Pdot_Q6_ms_yr,Pdot_Q7_ms_yr,Pdot_Q8_ms_yr,ratio_WN_to_Q6,ratio_WN_to_Q7,ratio_WN_to_Q8,abs_Pdot_WN,abs_Pdot_Q7
TOI-5181 A b,TOI-5181 A,b,2,1,3.8922295,0.0522,1.191,1.04,0.15,,6060.00,1.53,1.25,0.2080,4.163,4.1000,,Hot,Main Sequence,,336288.6288,2.48625E+30,0.05217,1.2,4,1,11.65025181,4.46943E+11,1.41044E+19,-3.57641E-14,-0.00112863,1.97406E+27,1064421000,7809008851,1.86839E-05,0,0,-3.1411E-18,-3.1411E-19,-3.1411E-20,-0.050002268,-0.005000227,-0.000500023,0.022571578,0.225715784,2.257157845,0.00112863,0.005000227
TOI-6383 A b,TOI-6383 A,b,2,1,1.79058695,0.02292,1.008,1.04,0.05,M3,3444.00,0.457,0.458,,4.81,,,Cool,Main Sequence,Cool MS,154706.7125,9.10962E+29,0.02225,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-42 b,HAT-P-42,b,1,1,4.641878,0.0575,1.28,1.044,0,,5743.00,1.53,1.178,0.2700,4.14,5.2000,,Hot,Main Sequence,,401058.2592,2.34304E+30,0.05752,1.2,6,1,9.186760713,1537307382,4.85137E+16,-1.24004E-11,-0.391325376,1.98165E+27,1064421000,8601877565,1.56665E-05,0,0,-1.72994E-18,-1.72994E-19,-1.72994E-20,-0.032842399,-0.00328424,-0.000328424,11.9152494,119.152494,1191.52494,0.391325376,0.00328424
TOI-6130 b,TOI-6130,b,1,1,2.392679,0.036,1.28,1.05,0.036,F,6110.00,1.51,1.31,0.2800,4.19,0.3000,11.1,Hot,Main Sequence,,206727.4656,2.60559E+30,0.03831,1.2,1.05,1,16.81266465,6.49628E+16,2.05007E+24,-1.51259E-19,-4.77337E-09,1.99304E+27,1050507000,5385523345,3.03936E-05,959040,6.55154E-06,-2.3175E-17,-2.3175E-18,-2.3175E-19,-0.226784593,-0.022678459,-0.002267846,2.1048E-08,2.1048E-07,2.1048E-06,4.77337E-09,0.022678459
HAT-P-35 b,HAT-P-35,b,3,1,3.646706,0.04978,1.332,1.056,0.02,,6096.00,1.435,1.236,0.1100,4.21,3.5000,,Hot,Main Sequence,,315075.3984,2.4584E+30,0.04976,1.2,4,1,11.47108669,2.9586E+11,9.33664E+18,-5.06192E-14,-0.00159742,2.00443E+27,998329500,7446982003,1.99418E-05,0,0,-3.16798E-18,-3.16798E-19,-3.16798E-20,-0.047248957,-0.004724896,-0.00047249,0.033808573,0.338085727,3.380857272,0.00159742,0.004724896
HAT-P-61 b,HAT-P-61,b,1,1,1.90231289,0.0301,0.899,1.057,0.113,,5587.00,0.938,1.004,0.1940,4.496,2.6000,,Solar,Main Sequence,Solar MS,164359.8337,1.99696E+30,0.03009,1,4.6,1,9.976638709,9476297981,2.99049E+17,-8.24412E-13,-0.026016462,2.00632E+27,652566600,4502895908,3.82282E-05,0,0,-1.10483E-17,-1.10483E-18,-1.10483E-19,-0.085957688,-0.008595769,-0.000859577,0.302665918,3.026659185,30.26659185,0.026016462,0.008595769
TOI-1130 c,TOI-1130,c,1,2,8.3501898,0.0731,1.15978431,1.05717423,0.0398,K6-K7,4360.00,0.697,0.745,0.1100,4.55,5.4000,25.6,Cool,Main Sequence,Cool MS,721456.3987,1.48181E+30,0.07303,0.8,4.87,1,16.42606698,2.66727E+16,8.41726E+23,-1.28567E-18,-4.05727E-08,2.00665E+27,484902900,10935604348,8.70903E-06,2211840,2.84071E-06,-6.13011E-21,-6.13011E-22,-6.13011E-23,-0.00020935,-2.0935E-05,-2.0935E-06,0.000193803,0.001938032,0.019380322,4.05727E-08,2.0935E-05
WASP-75 b,WASP-75,b,2,1,2.484193,0.0375,1.27,1.07,0,F9,6100.00,1.26,1.14,0.0700,4.29,3.5000,,Hot,Main Sequence,,214634.2752,2.26746E+30,0.03750,1.2,4,1,10.415538,26033825943,8.21565E+17,-3.91876E-13,-0.012366658,2.031E+27,876582000,5609920151,2.92739E-05,0,0,-1.09911E-17,-1.09911E-18,-1.09911E-19,-0.111670137,-0.011167014,-0.001116701,0.110742746,1.107427465,11.07427465,0.012366658,0.011167014
HATS-14 b,HATS-14,b,1,1,2.7667641,0.03815,1.039,1.071,0.142,,5346.00,0.933,0.967,0.3300,4.484,4.9000,,Solar,Main Sequence,Solar MS,239048.4182,1.92336E+30,0.03814,1,4.6,1,11.09628636,1.24821E+11,3.93904E+18,-9.10305E-14,-0.002872703,2.0329E+27,649088100,5707158767,2.62842E-05,0,0,-2.37892E-18,-2.37892E-19,-2.37892E-20,-0.026919082,-0.002691908,-0.000269191,0.106716245,1.067162448,10.67162448,0.002872703,0.002691908
HATS-3 b,HATS-3,b,1,1,3.547851,0.0485,1.381,1.071,0,F,6351.00,1.404,1.209,-0.1570,4.22,3.2000,,Hot,Main Sequence,,306534.3264,2.4047E+30,0.04850,1.2,4,1,11.39551855,2.4861E+11,7.84553E+18,-5.86068E-14,-0.001849489,2.0329E+27,976762800,7255496729,2.04975E-05,0,0,-3.44808E-18,-3.44808E-19,-3.44808E-20,-0.050032448,-0.005003245,-0.000500324,0.036965797,0.369657969,3.696579685,0.001849489,0.005003245
